checked_at,AA1476,AA1872,AA2966,AA3105,AS265,AS328,AS410,AS429,AS583,AS587,DL2041,DL2055,DL637,UA2099,UA2618,UA2835,UA341
2026-08-18 22:02:29,159.00,159.00,159.00,159.00,220.00,139.00,139.00,139.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-18 22:12:22,159.00,159.00,159.00,159.00,220.00,139.00,139.00,139.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-18 22:22:20,159.00,159.00,159.00,159.00,220.00,139.00,139.00,139.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-18 22:32:26,159.00,159.00,159.00,159.00,220.00,139.00,139.00,139.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-18 22:42:26,159.00,159.00,159.00,159.00,220.00,209.00,139.00,139.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-18 22:52:25,159.00,159.00,159.00,159.00,220.00,209.00,139.00,139.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-18 23:02:28,159.00,159.00,159.00,159.00,229.00,209.00,139.00,209.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-18 23:12:19,159.00,159.00,159.00,159.00,229.00,163.00,139.00,166.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-18 23:22:46,159.00,159.00,159.00,159.00,252.00,209.00,139.00,209.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-18 23:32:36,159.00,159.00,159.00,159.00,229.00,163.00,139.00,166.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-18 23:42:32,159.00,159.00,159.00,159.00,229.00,163.00,139.00,166.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-18 23:52:28,159.00,159.00,159.00,159.00,229.00,163.00,139.00,166.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 00:02:29,159.00,159.00,159.00,159.00,229.00,163.00,139.00,171.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 00:12:22,159.00,159.00,159.00,159.00,229.00,163.00,139.00,171.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 00:22:25,159.00,159.00,159.00,159.00,229.00,163.00,139.00,171.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 00:32:28,159.00,159.00,159.00,159.00,229.00,163.00,139.00,171.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 00:42:23,159.00,159.00,159.00,159.00,229.00,163.00,139.00,171.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 00:52:21,159.00,159.00,159.00,159.00,229.00,163.00,139.00,162.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 01:02:29,159.00,159.00,159.00,159.00,229.00,163.00,139.00,162.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
