checked_at,AA1263,AA1264,AA1427,AA2223,AA2723,AA2941,AA3128,AA392,AA855,AA903,DL1642,DL2240,DL2251,DL2633,DL2767,DL2917,DL2985,UA1258,UA1310,UA1437,UA1657,UA1682,UA2092,UA2342,UA2389,UA2635,UA529,UA623,UA669
2026-08-18 17:34:00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,124.00,149.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00
2026-08-18 17:44:06,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,124.00,149.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00
2026-08-18 17:53:50,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,149.00,124.00,134.00,134.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00
2026-08-18 18:04:13,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,159.00,134.00,134.00,134.00,134.00,134.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00
2026-08-18 18:14:04,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,159.00,134.00,134.00,134.00,134.00,134.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00
2026-08-18 18:24:00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,159.00,134.00,134.00,134.00,134.00,134.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00
2026-08-18 18:34:08,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00
2026-08-18 18:44:13,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00
2026-08-18 18:54:08,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00
2026-08-18 19:04:10,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00
2026-08-18 19:14:09,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00
2026-08-18 19:24:17,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00
2026-08-18 19:34:17,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00
2026-08-18 19:44:08,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00,124.00
