checked_at,AA54,AA86,AA98,BA1518,BA1543,BA1601,BA294,BA296,BA298,IB3633,IB3635,IB4208,IB4860,IB8552,UA920,UA929,UA938
2026-08-27 01:59:07,712.00,712.00,712.00,,,,712.00,712.00,712.00,711.00,710.00,,,,712.00,712.00,712.00
2026-08-27 02:09:00,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,788.00,786.00,788.00,712.00,712.00,712.00
2026-08-27 02:19:01,712.00,712.00,712.00,,,,712.00,712.00,712.00,,,,,,712.00,712.00,712.00
2026-08-27 02:29:19,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,788.00,786.00,788.00,712.00,712.00,712.00
2026-08-27 02:39:13,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,788.00,786.00,788.00,712.00,712.00,712.00
2026-08-27 02:49:09,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,788.00,786.00,788.00,712.00,712.00,712.00
2026-08-27 02:59:10,712.00,712.00,712.00,723.00,723.00,723.00,712.00,712.00,712.00,721.00,721.00,798.00,786.00,798.00,712.00,712.00,712.00
2026-08-27 03:08:58,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,788.00,786.00,788.00,712.00,712.00,712.00
2026-08-27 03:19:06,712.00,712.00,712.00,,,,712.00,712.00,712.00,,,,,,712.00,712.00,712.00
2026-08-27 03:29:14,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,788.00,786.00,788.00,712.00,712.00,712.00
2026-08-27 03:39:10,712.00,712.00,712.00,,,,712.00,712.00,712.00,,,,,,712.00,712.00,712.00
2026-08-27 03:49:00,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,788.00,786.00,788.00,712.00,712.00,712.00
2026-08-27 03:59:05,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,788.00,786.00,788.00,712.00,712.00,712.00
2026-08-27 04:09:08,712.00,712.00,712.00,,,,712.00,712.00,712.00,,,,,,712.00,712.00,712.00
2026-08-27 04:19:14,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,788.00,786.00,788.00,712.00,712.00,712.00
2026-08-27 04:29:11,712.00,712.00,712.00,,,,712.00,712.00,712.00,711.00,710.00,,,,712.00,712.00,712.00
2026-08-27 04:39:11,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,788.00,786.00,788.00,712.00,712.00,712.00
2026-08-27 04:49:10,712.00,712.00,712.00,,,,712.00,712.00,712.00,,,,,,712.00,712.00,712.00
2026-08-27 04:59:14,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,788.00,786.00,788.00,712.00,712.00,712.00
2026-08-27 05:09:17,,,,719.00,719.00,719.00,716.00,716.00,716.00,717.00,717.00,788.00,786.00,788.00,,,
2026-08-27 05:19:08,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,788.00,786.00,788.00,712.00,712.00,712.00
2026-08-27 05:29:12,712.00,712.00,712.00,,,,712.00,712.00,712.00,,,,,,712.00,712.00,712.00
2026-08-27 05:39:14,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-27 05:49:13,712.00,712.00,712.00,,,,712.00,712.00,712.00,711.00,710.00,,,,712.00,712.00,712.00
2026-08-27 05:59:04,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-27 06:09:08,712.00,712.00,712.00,,,,712.00,712.00,712.00,,,,,,712.00,712.00,712.00
2026-08-27 06:19:15,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,718.00,725.00,724.00,712.00,712.00,712.00
2026-08-27 06:29:13,712.00,712.00,712.00,,,,712.00,712.00,712.00,,,,,,712.00,712.00,712.00
2026-08-27 06:39:04,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,718.00,725.00,724.00,712.00,712.00,712.00
2026-08-27 06:49:09,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-27 06:59:11,712.00,712.00,712.00,,,,712.00,712.00,712.00,,,,,,712.00,712.00,712.00
2026-08-27 07:09:05,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-27 07:18:51,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-27 07:28:57,712.00,712.00,712.00,,,,712.00,712.00,712.00,,,,,,712.00,712.00,712.00
2026-08-27 07:39:02,712.00,712.00,712.00,,,,712.00,712.00,712.00,,,,,,712.00,712.00,712.00
2026-08-27 07:49:01,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-27 07:59:05,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-27 08:09:06,712.00,712.00,712.00,,,,712.00,712.00,712.00,,,,,,712.00,712.00,712.00
2026-08-27 08:19:03,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-27 08:29:05,712.00,712.00,712.00,755.00,755.00,755.00,712.00,712.00,712.00,788.00,788.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-27 08:39:12,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,788.00,788.00,788.00,712.00,712.00,712.00
2026-08-27 08:49:12,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-27 08:59:09,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,788.00,788.00,788.00,712.00,712.00,712.00
2026-08-27 09:09:15,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-27 09:19:08,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-27 09:29:08,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-27 09:39:13,712.00,712.00,712.00,,,,712.00,712.00,712.00,,,,,,712.00,712.00,712.00
2026-08-27 09:49:10,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-27 09:59:08,712.00,712.00,712.00,723.00,723.00,723.00,712.00,712.00,712.00,721.00,721.00,798.00,786.00,798.00,712.00,712.00,712.00
2026-08-27 10:09:13,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-27 10:19:03,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-27 10:29:03,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-27 10:39:09,712.00,712.00,712.00,,,,712.00,712.00,712.00,,,,,,712.00,712.00,712.00
2026-08-27 10:49:12,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-27 10:59:07,712.00,712.00,712.00,,,,712.00,712.00,712.00,,,,,,712.00,712.00,712.00
2026-08-27 11:09:12,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-27 11:19:10,712.00,712.00,712.00,,,,712.00,712.00,712.00,,,,,,712.00,712.00,712.00
2026-08-27 11:29:14,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-27 11:39:13,712.00,712.00,712.00,,,,712.00,712.00,712.00,711.00,710.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-27 11:49:07,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-27 11:59:12,712.00,712.00,712.00,730.00,730.00,730.00,712.00,712.00,712.00,729.00,729.00,788.00,786.00,788.00,712.00,712.00,712.00
2026-08-27 12:09:16,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-27 12:18:59,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-27 12:29:07,712.00,712.00,712.00,,,,712.00,712.00,712.00,,,,,,712.00,712.00,712.00
2026-08-27 12:39:16,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-27 12:49:17,712.00,712.00,712.00,,,,712.00,712.00,712.00,,,,,,712.00,712.00,712.00
2026-08-27 12:59:21,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,717.00,725.00,723.00,712.00,712.00,712.00
